metric,scope,dimensions,unit,description,chart_type,labels,plugin,module
exchange.rpc_active_user_count,,active,users,"Active unique users in the last 2 minutes",line,,go.d.plugin,windows
exchange.rpc_avg_latency,,latency,seconds,"Average latency",line,,go.d.plugin,windows
exchange.rpc_connection_count,,connections,connections,"Client connections",line,,go.d.plugin,windows
exchange.rpc_operations,,operations,operations/s,"RPC operations",line,,go.d.plugin,windows
exchange.rpc_requests,,processed,requests,"Clients requests currently being processed",line,,go.d.plugin,windows
exchange.rpc_user_count,,users,users,"RPC users",line,,go.d.plugin,windows
exchange.transport_queues_active_mail_box_delivery,,"low, high,none,normal",messages/s,"Active Mailbox Delivery Queue length",line,,go.d.plugin,windows
exchange.transport_queues_external_active_remote_delivery,,"low, high,none,normal",messages/s,"External Active Remote Delivery Queue length",line,,go.d.plugin,windows
exchange.transport_queues_external_largest_delivery,,"low, high,none,normal",messages/s,"External Largest Delivery Queue length",line,,go.d.plugin,windows
exchange.transport_queues_internal_active_remote_delivery,,"low, high,none,normal",messages/s,"Internal Active Remote Delivery Queue length",line,,go.d.plugin,windows
exchange.transport_queues_internal_largest_delivery,,"low, high,none,normal",messages/s,"Internal Largest Delivery Queue length",line,,go.d.plugin,windows
exchange.transport_queues_retry_mailbox_delivery,,"low, high,none,normal",messages/s,"Internal Active Remote Delivery Queue length",line,,go.d.plugin,windows
exchange.transport_queues_poison,,"low, high,none,normal",messages/s,"Poison Queue Length",line,,go.d.plugin,windows
exchange.workload_active_tasks,exchange workload,active,tasks,"Workload active tasks",line,workload,go.d.plugin,windows
exchange.workload_completed_tasks,exchange workload,completed,tasks/s,"Workload completed tasks",line,workload,go.d.plugin,windows
exchange.workload_queued_tasks,exchange workload,queued,tasks/s,"Workload queued tasks",line,workload,go.d.plugin,windows
